,time,stockId,stockName,title,url
100,17/09/2023 18:30,0307983079,中金中國國債中金中國國債－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0917/2023091700102_c.xlsx
101,17/09/2023 18:29,0301109011,Ａ工銀中金美Ａ工銀中金美－Ｕ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0917/2023091700100_c.xlsx
102,17/09/2023 18:29,03071,Ａ中金港元,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0917/2023091700098_c.xlsx
103,17/09/2023 18:27,030600906083060,Ｆ中金碳期貨Ｆ中金碳期貨－ＵＦ中金碳期貨－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0917/2023091700096_c.xlsx
104,17/09/2023 18:20,00503,朗生醫藥,公告及通告 - [《收購守則》所指的受要約公司刊發的公告 / 《收購守則》所指的要約公司刊發的公告 / 私有化/撤銷或取消... 更多公告及通告 - [《收購守則》所指的受要約公司刊發的公告 / 《收購守則》所指的要約公司刊發的公告 / 私有化/撤銷或取消證券上市 / 集團重組或協議安排 / 內幕消息 / 復牌]],/listedco/listconews/sehk/2023/0917/2023091700016_c.pdf
105,17/09/2023 18:18,00357,美蘭空港,公告及通告 - [關連交易 / 主要交易 / 根據特定授權發行股份 / 修訂憲章文件],/listedco/listconews/sehk/2023/0917/2023091700014_c.pdf
106,17/09/2023 18:16,01860,匯量科技,公告及通告 - [須予披露的交易 / 代價發行 / 根據一般性授權發行股份],/listedco/listconews/sehk/2023/0917/2023091700012_c.pdf
107,17/09/2023 18:07,0081240594,西證國際證券SWSI B2402,公告及通告 - [內幕消息],/listedco/listconews/sehk/2023/0917/2023091700010_c.pdf
108,17/09/2023 18:06,09866,蔚來－ＳＷ,公告及通告 - [海外監管公告-業務發展最新情況],/listedco/listconews/sehk/2023/0917/2023091700008_c.htm
109,17/09/2023 18:06,01561,聯洋智能控股,公告及通告 - [不尋常價格/成交量變動 - 標準內容或超級內容],/listedco/listconews/sehk/2023/0917/2023091700006_c.pdf
110,17/09/2023 18:05,02391,塗鴉智能－Ｗ,翌日披露報表 - [股份購回],/listedco/listconews/sehk/2023/0917/2023091700004_c.pdf
111,17/09/2023 18:05,,,通函 - [其他],/listedco/listconews/sehk/2023/0917/2023091700002_c.pdf
112,15/09/2023 22:58,08107,威誠國際控股,公司資料報表,/listedco/listconews/gem/2023/0915/2023091501330_c.pdf
113,15/09/2023 22:57,00580,賽晶科技,公告及通告 - [其他-業務發展最新情況],/listedco/listconews/sehk/2023/0915/2023091501328_c.pdf
114,15/09/2023 22:52,08107,威誠國際控股,公告及通告 - [董事名單和他們的地位和作用],/listedco/listconews/gem/2023/0915/2023091501326_c.pdf
115,15/09/2023 22:51,08107,威誠國際控股,公告及通告 - [更換董事或重要行政職能或職責的變更 / 更換行政總裁 / 更換審核委員會成員 / 更換薪酬委員會成員 /... 更多公告及通告 - [更換董事或重要行政職能或職責的變更 / 更換行政總裁 / 更換審核委員會成員 / 更換薪酬委員會成員 / 更換監察主任]],/listedco/listconews/gem/2023/0915/2023091501324_c.pdf
116,15/09/2023 22:49,06189,愛得威建設集團,公告及通告 - [董事會召開日期 / 停牌],/listedco/listconews/sehk/2023/0915/2023091501322_c.pdf
117,15/09/2023 22:44,08439,新百利融資,憲章文件,/listedco/listconews/gem/2023/0915/2023091501320_c.pdf
118,15/09/2023 22:30,00136,中國儒意,公告及通告 - [股東特別大會的結果],/listedco/listconews/sehk/2023/0915/2023091501318_c.pdf
119,15/09/2023 22:26,03969,中國通號,公告及通告 - [海外監管公告-企業管治相關事宜],/listedco/listconews/sehk/2023/0915/2023091501315_c.pdf
120,15/09/2023 22:25,08125,仁德資源,公司資料報表,/listedco/listconews/gem/2023/0915/2023091501314_c.pdf
121,15/09/2023 22:24,00574,百信國際,公告及通告 - [內幕消息 / 發行人、其控股公司或主要附屬公司結束營業及清盤 / 其他-雜項 / 停牌],/listedco/listconews/sehk/2023/0915/2023091501304_c.pdf
122,15/09/2023 22:23,08125,仁德資源,公告及通告 - [董事名單和他們的地位和作用],/listedco/listconews/gem/2023/0915/2023091501312_c.pdf
123,15/09/2023 22:21,08125,仁德資源,公告及通告 - [更換董事或重要行政職能或職責的變更 / 更換公司秘書],/listedco/listconews/gem/2023/0915/2023091501310_c.pdf
124,15/09/2023 22:21,03759,康龍化成,公告及通告 - [股東特別大會的結果 / 資本重組 / 修訂憲章文件],/listedco/listconews/sehk/2023/0915/2023091501308_c.pdf
125,15/09/2023 22:19,08125,仁德資源,公告及通告 - [資本重組 / 交易安排（更改每手買賣單位除外） / 供股],/listedco/listconews/gem/2023/0915/2023091501306_c.pdf
126,15/09/2023 22:19,03969,中國通號,公告及通告 - [海外監管公告-其他],/listedco/listconews/sehk/2023/0915/2023091501301_c.pdf
127,15/09/2023 22:18,00721,中國金融國際,公告及通告 - [資產淨值],/listedco/listconews/sehk/2023/0915/2023091501300_c.pdf
128,15/09/2023 22:17,00645,安域亞洲,公告及通告 - [董事名單和他們的地位和作用],/listedco/listconews/sehk/2023/0915/2023091501298_c.pdf
129,15/09/2023 22:15,03053,Ａ南方港元,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501296_c.xlsx
130,15/09/2023 22:14,09096,Ａ南方美元－Ｕ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501292_c.xlsx
131,15/09/2023 22:12,83122,Ａ南方人民幣－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501290_c.xlsx
132,15/09/2023 22:12,03969,中國通號,公告及通告 - [更換董事或重要行政職能或職責的變更 / 更換行政總裁],/listedco/listconews/sehk/2023/0915/2023091501288_c.pdf
133,15/09/2023 22:12,00645,安域亞洲,公告及通告 - [股東周年大會的結果 / 更換董事或重要行政職能或職責的變更 / 更換審核委員會成員 / 更換薪酬委員會成... 更多公告及通告 - [股東周年大會的結果 / 更換董事或重要行政職能或職責的變更 / 更換審核委員會成員 / 更換薪酬委員會成員 / 未能符合獨立非執行董事的規定或獨立非執行董事未能符合獨立性指引 / 未能符合審核委員會的規定 / 未能符合薪酬委員會的規定]],/listedco/listconews/sehk/2023/0915/2023091501286_c.pdf
134,15/09/2023 22:11,83199,工銀南方國債－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501284_c.xlsx
135,15/09/2023 22:11,01950,帝王實業控股,公告及通告 - [其他-業務發展最新情況],/listedco/listconews/sehk/2023/0915/2023091501282_c.pdf
136,15/09/2023 22:07,0303883038,恒生Ａ股低碳恒生Ａ股低碳－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501280_c.xlsx
137,15/09/2023 22:07,0303303193828228300583147,南方恒生科技南方中證５Ｇ南方Ａ５０－ＲＸ南方中五百－ＲＸ南方中創業－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501278_c.xlsx
138,15/09/2023 22:05,03136,恒指ＥＳＧＥＴＦ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501276_c.xlsx
139,15/09/2023 22:05,00444,SINCEREWATCH HK,公告及通告 - [末期業績 / 核數師發出「非標準報告」 / 復牌],/listedco/listconews/sehk/2023/0915/2023091501274_c.pdf
140,15/09/2023 22:03,0313083130,恒生滬深三百恒生滬深三百－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501272_c.xlsx
141,15/09/2023 22:01,00753,中國國航,公告及通告 - [其他-營運業績最新情況 / 內幕消息],/listedco/listconews/sehk/2023/0915/2023091501270_c.pdf
142,15/09/2023 22:01,03032,恒生科技ＥＴＦ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501268_c.xlsx
143,15/09/2023 22:01,08156,國藥科技股份,公告及通告 - [董事名單和他們的地位和作用],/listedco/listconews/gem/2023/0915/2023091501266_c.pdf
144,15/09/2023 22:01,02018400754069940700,瑞聲科技AAC N2411AAC N2606AAC N3106,公告及通告 - [須予披露的交易],/listedco/listconews/sehk/2023/0915/2023091501264_c.pdf
145,15/09/2023 22:00,07200072260728807300075000755207588,ＦＬ二南方恒指ＸＬ二南方恒科ＦＬ二南方國指ＦＩ南方恒指ＦＩ二南方恒指ＸＩ二南方恒科ＦＩ二南方國指,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501262_c.xlsx
146,15/09/2023 21:59,83168,恒生人幣金ＥＴＦ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501260_c.xlsx
147,15/09/2023 21:58,08156,國藥科技股份,公告及通告 - [更換董事或重要行政職能或職責的變更 / 更換審核委員會成員],/listedco/listconews/gem/2023/0915/2023091501258_c.pdf
148,15/09/2023 21:57,0312883128,恒生Ａ股龍頭恒生Ａ股龍頭－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501256_c.xlsx
149,15/09/2023 21:55,02838,恒生富時中國５０,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501254_c.xlsx
150,15/09/2023 21:53,0282882828,恒生中國企業恒生中國企業－R,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501252_c.xlsx
151,15/09/2023 21:49,00241,阿里健康,公告及通告 - [股份計劃],/listedco/listconews/sehk/2023/0915/2023091501250_c.pdf
152,15/09/2023 21:47,01725,香港航天科技,委任代表表格,/listedco/listconews/sehk/2023/0915/2023091501248_c.pdf
153,15/09/2023 21:47,06116,拉夏貝爾,公告及通告 - [內幕消息 / 其他-訴訟 / 發行人、其控股公司或主要附屬公司結束營業及清盤],/listedco/listconews/sehk/2023/0915/2023091501246_c.pdf
154,15/09/2023 21:44,03686,祈福生活服務,公告及通告 - [關連交易 / 持續關連交易],/listedco/listconews/sehk/2023/0915/2023091501244_c.pdf
155,15/09/2023 21:44,06116,拉夏貝爾,公告及通告 - [內幕消息 / 發行人、其控股公司或主要附屬公司結束營業及清盤],/listedco/listconews/sehk/2023/0915/2023091501242_c.pdf
156,15/09/2023 21:44,01725,香港航天科技,公告及通告 - [股東特別大會通告],/listedco/listconews/sehk/2023/0915/2023091501240_c.pdf
157,15/09/2023 21:43,01821,ESR,公告及通告 - [發行可轉換證券 / 根據一般性授權發行股份],/listedco/listconews/sehk/2023/0915/2023091501238_c.pdf
158,15/09/2023 21:39,01725,香港航天科技,通函 - [發行可轉換證券 / 發行股份],/listedco/listconews/sehk/2023/0915/2023091501236_c.pdf
159,15/09/2023 21:38,00811,新華文軒,公告及通告 - [海外監管公告-其他],/listedco/listconews/sehk/2023/0915/2023091501233_c.pdf
160,15/09/2023 21:36,01189,大灣區聚變力量,公告及通告 - [更改公司網址],/listedco/listconews/sehk/2023/0915/2023091501232_c.pdf
161,15/09/2023 21:35,03759,康龍化成,公告及通告 - [海外監管公告-其他],/listedco/listconews/sehk/2023/0915/2023091501229_c.pdf
162,15/09/2023 21:34,03768,滇池水務,公告及通告 - [須予披露的交易],/listedco/listconews/sehk/2023/0915/2023091501228_c.pdf
163,15/09/2023 21:32,00811,新華文軒,公告及通告 - [股權出現變動],/listedco/listconews/sehk/2023/0915/2023091501226_c.pdf
164,15/09/2023 21:31,01942,馬可數字科技,公告及通告 - [根據一般性授權發行股份 / 發行可轉換證券],/listedco/listconews/sehk/2023/0915/2023091501224_c.pdf
165,15/09/2023 21:28,06690,海爾智家,翌日披露報表 - [股份購回],/listedco/listconews/sehk/2023/0915/2023091501222_c.pdf
166,15/09/2023 21:23,08619,WAC HOLDINGS,公告及通告 - [更換公司秘書],/listedco/listconews/gem/2023/0915/2023091501220_c.pdf
167,15/09/2023 21:22,00840,天業節水,公告及通告 - [持續關連交易],/listedco/listconews/sehk/2023/0915/2023091501218_c.pdf
168,15/09/2023 21:17,00975,MONGOL MINING,公告及通告 - [發行債務證券 / 內幕消息],/listedco/listconews/sehk/2023/0915/2023091501216_c.pdf
169,15/09/2023 21:14,07333,ＸＩ南方滬深三百,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501214_c.xlsx
170,15/09/2023 21:13,07233,ＸＬ二南方滬深三,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501212_c.xlsx
171,15/09/2023 21:13,01725,香港航天科技,財務報表/環境、社會及管治資料 - [中期/半年度報告],/listedco/listconews/sehk/2023/0915/2023091501210_c.pdf
172,15/09/2023 21:12,07348,ＸＩ南方Ａ５０,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501208_c.xlsx
173,15/09/2023 21:12,02420,子不語,公告及通告 - [股份計劃],/listedco/listconews/sehk/2023/0915/2023091501206_c.pdf
174,15/09/2023 21:09,0336040606,遠東宏信FE HORI N2403,債券及結構性產品 - [贖回或購回 － 債務證券],/listedco/listconews/sehk/2023/0915/2023091501204_c.pdf
175,15/09/2023 21:08,0302103076,富邦富時台灣富邦台灣半導體,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501202_c.xlsx
176,15/09/2023 21:08,07248,ＸＬ二南方Ａ５０,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501200_c.xlsx
177,15/09/2023 21:07,00007,智富資源投資,公告及通告 - [董事名單和他們的地位和作用],/listedco/listconews/sehk/2023/0915/2023091501198_c.pdf
178,15/09/2023 21:07,07252,ＸＬ二南方中證券,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501196_c.xlsx
179,15/09/2023 21:06,03134,南方太陽能,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501194_c.xlsx
180,15/09/2023 21:06,03190,富邦滬深港高股息,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501192_c.xlsx
181,15/09/2023 21:05,00007,智富資源投資,公告及通告 - [更換董事或重要行政職能或職責的變更],/listedco/listconews/sehk/2023/0915/2023091501190_c.pdf
182,15/09/2023 21:05,03109,南方科創板５０,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501188_c.xlsx
183,15/09/2023 21:05,09958,力天影業,公告及通告 - [內幕消息],/listedco/listconews/sehk/2023/0915/2023091501186_c.pdf
184,15/09/2023 21:04,03070,平安香港高息股,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501184_c.xlsx
185,15/09/2023 21:04,03174,南方醫療健康,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501182_c.xlsx
186,15/09/2023 21:03,00721,中國金融國際,公告及通告 - [董事會召開日期],/listedco/listconews/sehk/2023/0915/2023091501180_c.pdf
187,15/09/2023 21:03,03003,南方明晟Ａ５０,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501178_c.xlsx
188,15/09/2023 21:03,03080,平安中國國債,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501176_c.xlsx
189,15/09/2023 21:02,03004,南方東英越南３０,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501174_c.xlsx
190,15/09/2023 21:00,045960615840116402254025040375405164057240715,ZHENROPPT SPCS正榮地產ZHENROPPT N2404ZHENROPPT N2403ZHENROPPT N2309ZHENROPPT N2502ZHENROPPT N2601ZHENROPPT N2608ZHENROPPT N2409,債券及結構性產品 - [其他 － 債務證券],/listedco/listconews/sehk/2023/0915/2023091501172_c.pdf
191,15/09/2023 20:56,01159,星光文化,憲章文件,/listedco/listconews/sehk/2023/0915/2023091501170_c.pdf
192,15/09/2023 20:55,03669,永達汽車,翌日披露報表 - [股份購回],/listedco/listconews/sehk/2023/0915/2023091501168_c.pdf
193,15/09/2023 20:52,00474,信銘生命科技,公告及通告 - [須予披露的交易],/listedco/listconews/sehk/2023/0915/2023091501166_c.pdf
194,15/09/2023 20:51,01159,星光文化,公告及通告 - [董事名單和他們的地位和作用],/listedco/listconews/sehk/2023/0915/2023091501164_c.pdf
195,15/09/2023 20:50,02839030690308803403090690908809403098398283983403,華夏Ａ５０華夏恒生生科華夏恒生科技華夏恒ＥＳＧ華夏恒生生科－Ｕ華夏恒生科技－Ｕ華夏恒ＥＳＧ－Ｕ華夏Ａ５０－Ｕ華夏Ａ５０－Ｒ華夏恒ＥＳＧ－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501162_c.xlsx
196,15/09/2023 20:49,01159,星光文化,公告及通告 - [股東周年大會的結果 / 修訂憲章文件 / 更換董事或重要行政職能或職責的變更 / 更換審核委員會成員 /... 更多公告及通告 - [股東周年大會的結果 / 修訂憲章文件 / 更換董事或重要行政職能或職責的變更 / 更換審核委員會成員 / 更換薪酬委員會成員]],/listedco/listconews/sehk/2023/0915/2023091501160_c.pdf
197,15/09/2023 20:47,0316183161,Ａ華夏人民幣Ａ華夏人民幣－Ｒ,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501156_c.xlsx
198,15/09/2023 20:46,01341,昊天國際建投,公告及通告 - [須予披露的交易],/listedco/listconews/sehk/2023/0915/2023091501154_c.pdf
199,15/09/2023 20:42,06826,昊海生物科技,公告及通告 - [海外監管公告-企業管治相關事宜],/listedco/listconews/sehk/2023/0915/2023091501151_c.pdf
